TestPlan information Reading from logfile: TEST_PLAN V1_3,Cmd,Status,CMD_TIME (second),Used time (second),Hot time (second),Temperature (°C),Hot times
"iBoot Version: iBoot-7459.100.363.101.2
Rtos Version: PeRtosFactoryTests_H13G-1.0.20
Rbm Version: SiValFactoryTests_H13G-100040"
703,pmgr mode 0x9502256,Rtos,0.000105,0.032,,,
704,sc run 34 5,Rtos,5.050912,5.158,,,
705,sc run 38 5,Rtos,2.029998,2.142,,,
706,sc run 39 5,Rtos,5.081249,5.189,,,
707,sc run 41 5,Rtos,5.058093,5.174,,,
708,sc run 400 5,Rtos,5.032753,5.144,,,
709,sc run 402 5,Rtos,5.093134,5.206,,,
710,pmgr mode 0x8502256,Rtos,0.000106,0.032,,,
711,sc run 34 5,Rtos,5.053318,5.159,,,
712,sc run 38 5,Rtos,2.026946,2.142,,,
713,sc run 39 5,Rtos,5.094489,5.205,,,
714,sc run 41 5,Rtos,5.063102,5.174,,,
715,sc run 400 5,Rtos,5.039252,5.144,,,
716,sc run 402 5,Rtos,5.110263,5.222,,,
717,pmgr mode 0x7502256,Rtos,0.000115,0.031,,,
718,sc run 34 5,Rtos,5.05683,5.16,,,
719,sc run 38 5,Rtos,2.033507,2.142,,,
720,sc run 39 5,Rtos,5.08112,5.19,,,
721,sc run 41 5,Rtos,5.067653,5.175,,,
722,sc run 400 5,Rtos,5.050168,5.16,,,
723,sc run 402 5,Rtos,5.097884,5.206,,,
724,pmgr mode 0x6502256,Rtos,0.000118,0.031,,,
725,sc run 34 5,Rtos,5.049481,5.16,,,
726,sc run 38 5,Rtos,2.032259,2.157,,,
727,sc run 39 5,Rtos,5.091823,5.208,,,
728,sc run 41 5,Rtos,5.07126,5.189,,,
729,sc run 400 5,Rtos,5.112466,5.22,,,
730,sc run 402 5,Rtos,5.133,5.238,,,
731,pmgr mode 0x5502246,Rtos,0.000199,0.047,,,
732,sc run 34 5,Rtos,5.052991,5.158,,,
733,sc run 38 5,Rtos,2.043457,2.158,,,
734,sc run 39 5,Rtos,5.146015,5.251,,,
735,sc run 41 5,Rtos,5.098255,5.205,,,
736,sc run 400 5,Rtos,5.133011,5.251,,,
737,sc run 402 5,Rtos,5.130052,5.238,,,
738,pmgr mode 0x4402246,Rtos,0.000173,0.031,,,
739,sc run 34 5,Rtos,5.075616,5.174,,,
740,sc run 38 5,Rtos,2.044898,2.157,,,
741,sc run 39 5,Rtos,5.155304,5.269,,,
742,sc run 41 5,Rtos,5.055601,5.175,,,
743,sc run 400 5,Rtos,5.091625,5.204,,,
744,sc run 402 5,Rtos,5.131472,5.237,,,
745,pmgr mode 0x3302235,Rtos,0.000339,0.032,,,
746,sc run 34 5,Rtos,5.075723,5.172,,,
747,sc run 38 5,Rtos,2.044781,2.158,,,
748,sc run 39 5,Rtos,5.194908,5.299,,,
749,sc run 41 5,Rtos,5.096253,5.219,,,
750,sc run 400 5,Rtos,5.17444,5.282,,,
751,sc run 402 5,Rtos,5.178935,5.283,,,
752,pmgr mode 0x2202235,Rtos,0.000213,0.047,,,
753,sc run 34 5,Rtos,5.102833,5.204,,,
754,sc run 38 5,Rtos,2.069621,2.188,,,
755,sc run 39 5,Rtos,5.241405,5.346,,,
756,sc run 41 5,Rtos,5.129241,5.233,,,
757,sc run 400 5,Rtos,5.211775,5.329,,,
758,sc run 402 5,Rtos,5.201184,5.312,,,
759,pmgr mode 0x1102235,Rtos,0.000253,0.031,,,
760,sc run 34 5,Rtos,5.072546,5.175,,,
761,sc run 38 5,Rtos,2.10205,2.219,,,
762,sc run 39 5,Rtos,5.271528,5.375,,,
763,sc run 41 5,Rtos,5.137995,5.267,,,
764,sc run 400 5,Rtos,5.183292,5.298,,,
765,sc run 402 5,Rtos,5.240235,5.358,,,
766,ans fw-init,Rtos,0.020526,0.047,,,
767,echo >>>> IP Tests <<<<,Rtos,0.000122,0.016,,,
768,pmgr mode 0x4402254,Rtos,0.000391,0.015,,,
769,sc run 20 5,Rtos,0.451682,0.541,,,
770,sc run 23 5,Rtos,4.626064,4.728,,,
771,sc run 24 5,Rtos,1.326482,1.433,,,
772,sc run 82 5,Rtos,23.873056,23.979,,,
773,sc run 83 5,Rtos,1.108474,1.206,,,
774,sc run 136 5,Rtos,0.430987,0.558,,,
775,sc run 137 5,Rtos,1.132757,1.249,,,
776,sc run 146 5,Rtos,2.964555,3.069,,,
777,sc run 151 5,Rtos,0.880194,0.987,,,
778,sc run 153 5,Rtos,3.029379,3.14,,,
779,pmgr mode 0x4402244,Rtos,0.000216,0.031,,,
780,sc run 20 5,Rtos,0.459354,0.558,,,
781,sc run 23 5,Rtos,4.836555,4.939,,,
782,sc run 24 5,Rtos,1.379359,1.48,,,
783,sc run 82 5,Rtos,26.905752,27.01,,,
784,sc run 83 5,Rtos,1.131341,1.233,,,
785,sc run 136 5,Rtos,0.432206,0.543,,,
786,sc run 137 5,Rtos,1.35201,1.449,,,
787,sc run 146 5,Rtos,3.483482,3.605,,,
788,sc run 153 5,Rtos,3.605445,3.712,,,
789,pmgr mode 0x4402234,Rtos,0.000166,0.032,,,
790,sc run 20 5,Rtos,0.461256,0.557,,,
791,sc run 23 5,Rtos,5.283852,5.388,,,
792,sc run 24 5,Rtos,1.458386,1.556,,,
793,sc run 82 5,Rtos,28.745401,28.85,,,
794,sc run 83 5,Rtos,1.152423,1.251,,,
795,sc run 136 5,Rtos,0.434903,0.542,,,
796,sc run 137 5,Rtos,1.443303,1.542,,,
797,sc run 146 5,Rtos,4.347437,4.45,,,
798,sc run 153 5,Rtos,4.102116,4.202,,,
799,ans free-heap,Rtos,0.00292,0.031,,,
800,ut all status show,Rtos,0.000679,0.063,,,
801,pmgr mode 0x1102234,Rtos,0.000354,16.062,,,
802,pmgr reset,Rtos,3.9e-05,0.015,,,
803,pmu: flt (sera) 00:08:00:00,Rtos,,2.376,,,
804,📌 Reboot,Reboot,,14.999,,,
805,phigh-state . cr,Rbm,,0.201,,,
806,ehigh-state . cr,Rbm,,0.015,,,
807,.temps,Rbm,,0.032,,,
808,calc-pdvfms,Rbm,,0.094,,,
809,calc-edvfms,Rbm,,0.094,,,
